product_name,product_category,promotion,unit_price,comp_1,comp_2,comp_3,holiday,weekend,month,qty
iPhone 15 Pro,Smartphones & Tablets,0,798.7460453734258,758.8986686037175,713.1684303164826,834.9025166915252,0,0,1,338
iPhone 15 Pro,Smartphones & Tablets,1,754.6695926616889,781.2675095664976,779.9479662052132,643.0689714669717,0,1,1,685
iPhone 15 Pro,Smartphones & Tablets,0,748.2252861069784,688.2411140282223,656.3297008113676,774.7991078182721,0,1,1,434
iPhone 15 Pro,Smartphones & Tablets,0,761.6757548054335,750.3646989195738,650.4554713757902,862.7200616166978,0,1,1,426
iPhone 15 Pro,Smartphones & Tablets,0,519.0287912852522,547.5645040840501,536.1562209855515,570.9101169754974,0,0,1,982
iPhone 15 Pro,Smartphones & Tablets,0,702.5083083324762,640.9562858266167,716.776321163589,603.7314165159871,0,0,1,433
iPhone 15 Pro,Smartphones & Tablets,0,726.0200538692487,688.2395897565369,741.3631752970203,730.5578810451311,1,1,1,721
iPhone 15 Pro,Smartphones & Tablets,0,775.2133253669045,723.1187996701412,727.8338774343605,697.3664665831408,1,0,1,553
iPhone 15 Pro,Smartphones & Tablets,0,740.8694647158866,673.9339246525315,787.8425045373574,805.3641239319858,0,0,1,394
iPhone 15 Pro,Smartphones & Tablets,0,823.8677087173421,811.3739215348527,723.8691466281637,791.9391075464873,1,1,1,438
iPhone 15 Pro,Smartphones & Tablets,0,881.3342571749854,850.3800904127786,1006.0550659320488,973.5871690132751,0,0,1,147
iPhone 15 Pro,Smartphones & Tablets,0,641.287952334586,566.4286437077343,629.6171211845999,583.9027877480677,0,1,1,743
iPhone 15 Pro,Smartphones & Tablets,0,739.0483171899989,762.199163722197,747.8816646344532,673.2126865395304,0,0,2,724
iPhone 15 Pro,Smartphones & Tablets,0,760.9250815081053,714.2728452296708,670.8682877598853,751.0029008586824,1,0,2,802
iPhone 15 Pro,Smartphones & Tablets,1,699.3435742727613,669.1944192077698,784.6974312006887,651.5362201197083,0,0,2,950
iPhone 15 Pro,Smartphones & Tablets,0,594.7955148680077,629.1335416466452,553.6497619758514,549.1376173471423,0,0,2,960
